id;from_time;to_time;is_available
1;2024-02-29T21:24:27;2024-03-01T12:54:20;false
2;2024-03-01T06:10:08;2024-02-29T22:32:24;false
3;2024-03-01T13:24:25;2024-03-01T07:46:18;true
4;2024-03-01T00:59:20;2024-03-01T12:18:32;false
5;2024-02-29T22:14:00;2024-03-01T07:08:29;false
6;2024-02-29T21:20:10;2024-03-01T14:58:39;false
7;2024-03-01T11:02:56;2024-03-01T14:31:53;false
8;2024-03-01T03:51:51;2024-03-01T01:28:29;false
9;2024-02-29T21:33:15;2024-03-01T10:12:51;false
10;2024-03-01T15:05:39;2024-02-29T21:29:16;false
